venue,found tweets,original,retweets,quotes,retweets/quotes,reply
bostonglobe,16468,3996,11616,317,539,129
chicago,830,265,564,1,0,4
foxnews,229911,100453,88014,2032,39412,2363
iflscience,184242,128366,53984,1488,404,2947
latimes,125809,53174,71081,514,1040,1088
nytimes,1124602,422636,687368,5432,9166,6588
sfchronicle,9863,2822,6970,39,32,40
slate,1873,876,942,15,40,21
theglobeandmail,26130,8034,17999,45,52,583
theguardian,78972,40988,35260,1350,1374,855
washingtonpost,1613328,405655,1199803,1315,6555,7797
wired,172956,91001,79540,1553,862,822
