relevant_url,tweet_count,altmetric_ids
nytimes.com/2017/03/06/science/galapagos-blue-footed-boobies.html,2468,"17043302,4344939,173454,412176,2353143,3257727"
nytimes.com/2017/01/12/science/ruby-seadragon.html,1994,"3708125,15428279"
nytimes.com/2016/11/10/science/narwhals-echolocation.html,1394,13474487
nytimes.com/2017/06/16/science/send-more-wine-pottery-archaeology.html,1386,21068720
nytimes.com/2016/11/04/science/ebola-evolution-african-epidemic.html,1354,"3906320,13313023"
nytimes.com/2017/01/04/science/fast-radio-burst-galaxy.html,1076,14421175
nytimes.com/2017/03/02/science/woolly-mammoth-extinct-genetics.html,969,16939429
washingtonpost.com/news/energy-environment/wp/2017/01/09/methane-may-not-last-long-in-the-atmosphere-but-it-drives-rising-seas-for-hundreds-of-years/,801,15342266
washingtonpost.com/news/energy-environment/wp/2016/12/12/shrinking-mountain-glaciers-are-categorical-evidence-of-climate-change-scientists-say/,776,14678891
nytimes.com/2016/11/25/science/mars-ice-sheet.html,491,12008968
nytimes.com/2017/01/09/science/starfish-larva-video.html,490,14858709
nytimes.com/2017/06/23/science/sun-plasma-jets-spicules.html,446,21275103
nytimes.com/2017/08/04/science/salps-chains.html,353,23382589
nytimes.com/2016/12/05/science/secrets-of-the-orchid-mantis.html,347,14212269
nytimes.com/2016/10/25/science/self-tanning-products.html,328,"4062875,696077"
nytimes.com/2017/03/27/science/early-childhood-memories.html,316,"2025513,2162066,18172065,3410132"
theguardian.com/science/blog/2017/mar/22/why-virtual-reality-could-be-a-mental-health-gamechanger,300,"4458166,18009030,4586039"
nytimes.com/2016/11/19/science/atm-keypad-microbes.html,258,13696324
nytimes.com/2016/11/08/science/fossilized-leaves-insect-bites-patagonia.html,242,"3678584,13414484"
foxnews.com/science/2017/01/23/stunning-fossil-discovery-giant-otter-was-size-wolf.html,96,15699305
theguardian.com/science/2017/mar/28/neuroprosthetic-tetraplegic-man-control-hand-with-thought-bill-kochevar,81,18203961
foxnews.com/science/2016/12/14/smallpox-found-in-lithuanian-mummy-could-rewrite-virus-history.html,75,14471169
foxnews.com/science/2017/03/03/in-new-territory-good-froggy-dads-go-cannibal.html,67,"17100768,1216842,16941183"
theguardian.com/science/2017/apr/06/hot-and-steamy-atmosphere-detected-on-earth-like-planet,50,"14582676,8980973"
theguardian.com/science/blog/2017/aug/10/it-was-all-yellow-did-digitalis-affect-the-way-van-gogh-saw-the-world,50,"1478272,479971,218071"
nytimes.com/2017/07/03/science/arctic-sun-summer-white-nights.html,50,"2227867,3101501"
foxnews.com/science/2017/06/27/this-volcano-shaped-pyramid-in-peru-has-experts-stumped.html,50,20904853
theguardian.com/science/2016/dec/12/high-social-cost-adults-can-be-identified-from-as-young-as-three-says-study,48,14678128
foxnews.com/science/2016/12/05/6-foot-wide-bald-asteroid-is-smallest-ever-studied.html,47,13606817
theguardian.com/science/2017/feb/09/cancer-drug-prices-must-come-down-say-leading-research-institutes,47,16269170
foxnews.com/science/2016/12/01/privileged-pigs-are-more-optimistic.html,42,13672444
theguardian.com/science/2017/apr/28/cancer-drugs-fund-condemned-as-expensive-and-ineffective,40,"19652984,6133343"
theguardian.com/science/2017/jan/11/new-fertility-procedure-may-lead-to-embryo-farming-warn-researchers-in-vitro-gametogenesis,33,15392993
foxnews.com/science/2017/08/10/desert-fossils-reveal-540-million-year-old-jellyfish-graveyard.html,33,20761146
theguardian.com/science/2017/jul/24/moon-wetter-than-previously-thought-raising-new-manned-mission-possibilities,29,22312667
theguardian.com/science/animal-magic/gallery/2016/dec/06/zoology-news-novembers-animal-antics-from-round-the-globe-in-pictures,29,"13932450,13468196,13449446,13475404,13466387,13474487,13421816,12752442,13240663"
theguardian.com/science/2017/jan/05/face-recognition-brain-tissues-continue-to-grow-into-adulthood-study-finds,28,15252416
theguardian.com/science/occams-corner/2017/jun/01/inferior-by-angela-saini-a-powerful-exploration-of-womens-inferiority,24,20744724
theguardian.com/science/political-science/2017/apr/19/why-the-global-march-for-science-is-already-a-success,23,16802493
theguardian.com/science/2016/dec/08/dinosaur-tail-trapped-in-amber-offers-insights-into-feather-evolution,19,14568641
foxnews.com/science/2017/07/06/fastest-stars-in-milky-way-are-galactic-fugitives.html,18,21402011
theguardian.com/science/2017/may/04/new-fossil-mammal-was-the-first-king-of-scotland-wareolestes-rex,16,19848703
theguardian.com/science/2017/aug/16/most-bizarre-dinosaur-ever-found-is-missing-evolutionary-link-chilesaurus,16,23905778
theguardian.com/science/2016/oct/14/is-your-child-a-fussy-eater-the-reason-could-be-in-their-genes,15,12607700
nytimes.com/2016/10/08/science/dale-schenk-who-saw-immune-system-as-weapon-against-alzheimers-dies-at-59.html,14,"10944968,10944764,1392734"
theguardian.com/science/blog/2017/apr/11/could-a-new-approach-to-kill-cancer-at-nanoscale-work,14,"2397875,5616031"
foxnews.com/science/2017/01/19/new-theory-may-finally-explain-fabled-fairy-circles.html,11,15570039
theguardian.com/science/2017/may/11/zombie-ammonite-discovery-is-snapshot-of-an-unusual-moment-in-deep-time,9,"20038200,919764,20025911"
washingtonpost.com/news/energy-environment/wp/2016/10/06/heres-what-we-can-say-about-climate-change-and-hurricane-matthew/,5,4750314
theguardian.com/science/2017/may/01/shocking-discovery-money-earned-by-exploitation-is-less-rewarding-study-shows,5,19761858
